,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間,屬性值-英文,屬性值-日文,屬性值-簡中
,,,,,,,,constant,50+SLv*5,,,,,,,,,,
,,,,,,,,multiplier,SLv+$DEX*0.5,,,,,,,,,,
,,,,,,,,element,earth,,,,,,,,,,
,,,,,,,,ailment_name,停止,,,,,,,,,,停止
,,,,,,,,ailment_chance,75+2.5*SLv,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,82~61,,,,,,,,,,
,,,,,,2,extra,condition,觸發陷阱時,,,,,,,,,,触发陷阱时
,,,,,,,,caption,回復${100+SLv*10}MP。,,,,,,,,,,回复${100+SLv*10}MP。
5,,非預設,,,,1,,multiplier,SLv,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/6)*0.5+0.5,,,,,,,,,,
,,,,,,,,ailment_chance,55+2.5*SLv,,,,,,,,,,
,,,,,,2,,caption,回復${SLv*10}MP。,,,,,,,,,,回复${SLv*10}MP。
6,猛爆地雷,預設,,箭矢,,-,text,text,放置一個#[陷阱]，對進入範圍的敵人造成傷害。,,400 ,-,瞬發,無法放入連擊,稍快,,,,放置一个#[陷阱]，对进入范围的敌人造成伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,1,damage,type,AOE,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/6)*0.5+2.5,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,constant,100+SLv*30,,,,,,,,,,
,,,,,,,,multiplier,200+60*SLv+$BDEX*2+$TEC*2,,,,,,,,,,
,,,,,,,,element,fire,,,,,,,,,,
,,,,,,,,ailment_name,著火,,,,,,,,,,着火
,,,,,,,,ailment_chance,"[85,90,90,90,90,90,95,95,95,100][SLv-1]",,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,82~61,,,,,,,,,,
,,,,,,2,extra,condition,觸發陷阱時,,,,,,,,,,触发陷阱时
,,,,,,,,caption,回復${100+SLv*10}MP。,,,,,,,,,,回复${100+SLv*10}MP。
6,,非預設,,,,1,,multiplier,200+60*SLv,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/6)*0.5+1.5,,,,,,,,,,
,,,,,,,,ailment_chance,"[5,10,10,10,10,10,15,15,15,20][SLv-1]",,,,,,,,,,
,,,,,,2,,caption,回復${SLv*10}MP。,,,,,,,,,,回复${SLv*10}MP。
7,乏力陷阱,預設,,箭矢,,-,text,text,放置一個#[陷阱]，對進入範圍的敵人造成傷害。,,300 ,-,瞬發,無法放入連擊,稍快,,,,放置一个#[陷阱]，对进入范围的敌人造成伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,1,damage,type,AOE,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/6)*0.5+2.5,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,constant,50+SLv*5,,,,,,,,,,
,,,,,,,,multiplier,SLv+$DEX*0.5,,,,,,,,,,
,,,,,,,,element,dark,,,,,,,,,,
,,,,,,,,ailment_name,乏力,,,,,,,,,,乏力
,,,,,,,,ailment_chance,75+2.5*SLv,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,action_frame,82~61,,,,,,,,,,
,,,,,,2,extra,condition,觸發陷阱時,,,,,,,,,,触发陷阱时
,,,,,,,,caption,回復${100+SLv*10}MP。,,,,,,,,,,回复${100+SLv*10}MP。
7,,非預設,,,,1,,radius,Math.floor(SLv/6)*0.5+2.5,,,,,,,,,,
,,,,,,,,ailment_chance,55+2.5*SLv,,,,,,,,,,
,,,,,,,,multiplier,SLv,,,,,,,,,,
,,,,,,2,,caption,回復${SLv*10}MP。,,,,,,,,,,回复${SLv*10}MP。
8,尋蹤射擊,預設/and,弓,箭矢,,-,proration,damage,normal_attack,,200 ,16 ,瞬發,可以放入連擊,,,,,
,,,,,,1,damage,multiplier,SLv*10,,,,,,,,,,
,,,,,,,,constant,200,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,,,skill_long_range,0,,,,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,,,,
,,,,,,,,frequency,1+Math.floor(SLv/5),,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,-,extra,absolute_accuracy,SLv*SLv,,,,,,,,,,
,,,,,,3,extra,condition,裝備箭矢時,,,,,,,,,,装备箭矢时
,,,,,,,,caption,此傷害的閃躲貫穿+100%。,,,,,,,,,,此伤害的闪躲贯穿+100%。
,,,,,,2,extra,condition,成功命中時,,,,,,,,,,成功命中时
,,,,,,,,caption,回復((自身攻擊MP回復×${SLv/10}))的MP。,,,,,,,,,,回复((自身攻击MP回复×${SLv/10}))的MP。
,,,,,,-,list,text,閃躲貫穿屬性對部分目標的閃躲提升狀態不適用，如魔晶獸受#[控制類異常]後的必定閃躲。,,,,,,,,,,闪躲贯穿属性对部分目标的闪躲提升状态不适用，如魔晶兽受#[控制类异常]后的必定闪躲。
,,,,,,-,list,text,每段傷害命中都會回復一次MP。,,,,,,,,,,
8,,非預設/and,弩,箭矢,,,,,,,,,,,,,,,
8,,非預設,弓,,,1,,constant,0,,,,,,,,,,
,,,,,,2,,caption,回復((自身攻擊MP回復×${SLv/20}))的MP。,,,,,,,,,,回复((自身攻击MP回复×${SLv/20}))的MP。
,,,,,,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,,非預設,弩,,,1,,constant,0,,,,,,,,,,
,,,,,,2,,caption,回復((自身攻擊MP回復×${SLv/20}))的MP。,,,,,,,,,,回复((自身攻击MP回复×${SLv/20}))的MP。
,,,,,,3,,,,,,,,,,,,,
8,,歷史紀錄,0,2023/11/09,,-,text,text,依據技能等級提升攻擊次數。（仍然只造成一次慣性）,,,,,,,,,,
,,,,,,1,,frequency,1,,,,,,,,,,
8,,歷史紀錄,1,2023/11/09,,-,text,text,依據技能等級提升攻擊次數。（仍然只造成一次慣性）,,,,,,,,,,
,,,,,,1,,frequency,1,,,,,,,,,,
8,,歷史紀錄,2,2023/11/09,,-,text,text,依據技能等級提升攻擊次數。（仍然只造成一次慣性）,,,,,,,,,,
,,,,,,1,,frequency,1,,,,,,,,,,
8,,歷史紀錄,3,2023/11/09,,-,text,text,依據技能等級提升攻擊次數。（仍然只造成一次慣性）,,,,,,,,,,
,,,,,,1,,frequency,1,,,,,,,,,,
9,探知,預設,弓,,,-,text,text,給予自身探知狀態。若自身變為仇恨目標，解除探知狀態，並同時生成分身射手。,,300 ,,瞬發,可以放入連擊,,,,,给予自身探知状态。若自身变为仇恨目标，解除探知状态，并同时生成分身射手。
,,,,,,,,skill,分身射手,,,,,,,,,,分身射手
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,,,mark,探知,,,,,,,,,,探知
,,,,,,1,effect,critical_rate,SLv,,,,,,,,,,
,,,,,,,,aggro,-SLv-10,,,,,,,,,,
,,,,,,,,name,探知,,,,,,,,,,探知
,,,,,,,,duration,40,,,,,,,,,,
,,,,,,,,end_condition,變成仇恨目標前,,,,,,,,,,变成仇恨目标前
,,,,,,,,action_frame,122~61,,,,,,,,,,
,,,,,,-,list,text,未習得分身射手或沒有鎖定目標時，無法創造分身。,,,,,,,,,,未习得分身射手或没有锁定目标时，无法创造分身。
,,,,,,,,mark,分身射手,,,,,,,,,,分身射手
,,,,,,-,list,text,創造出的分身射手跟隨自身分身射手技能等級。,,,,,,,,,,创造出的分身射手跟随自身分身射手技能等级。
,,,,,,,,mark,分身射手,,,,,,,,,,分身射手
,,,,,,-,list,text,創造分身射手將於變成仇恨目標當下立即生成，無動作時間。,,,,,,,,,,创造分身射手将于变成仇恨目标当下立即生成，无动作时间。
,,,,,,,,mark,分身射手,,,,,,,,,,分身射手
9,,非預設,弩,,,,,,,,,,,,,,,,
10,氣旋箭,預設/and,弓,箭矢,,-,text,text,以目標為中心，創造單下氣旋，造成一段範圍傷害。,,100 ,14 ,瞬發,可以放入連擊,,,,,以目标为中心，创造单下气旋，造成一段范围伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,1,damage,name,氣旋,,,,,,,,,,气旋
,,,,,,,,constant,100,,,,,,,,,,
,,,,,,,,multiplier,10*SLv+$DEX/2,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,4+0.4*SLv,,,,,,,,,,
,,,,,,,,end_position,target,,,,,,,,,,
,,,,,,,,ailment_name,膽怯,,,,,,,,,,胆怯
,,,,,,,,ailment_chance,SLv*SLv,,,,,,,,,,
,,,,,,,,element,wind,,,,,,,,,,
,,,,,,-,extra,caption,被命中的目標將被拉至技能中心。但BOSS級敵人免疫此效果。,,,,,,,,,,被命中的目标将被拉至技能中心。但BOSS级敌人免疫此效果。
,,,,,,-,list,text,#[膽怯]只會對鎖定目標附加，AOE範圍內的其他敵人無膽怯效果。,,,,,,,,,,#[胆怯]只会对锁定目标附加，AOE范围内的其他敌人无胆怯效果。
,,,,,,-,list,text,此技能的膽怯，抵抗時間為35秒。,,,,,,,,,,此技能的胆怯，抵抗时间为35秒。
,,,,,,,,,,,,,,,,,,,
10,,非預設,弓,,,1,damage,multiplier,10*SLv,,,,,,,,,,
,,,,,,,,radius,2+0.4*Math.floor(SLv/2),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,垂直氣彈,預設/and,弓,箭矢,,-,text,text,依據當前與目標距離，決定攻擊次數。處於空中時進入#[無敵]狀態,,400 ,12 ,瞬發,可以放入連擊,,,,,依据当前与目标距离，决定攻击次数。处于空中时进入#[无敌]状态
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,-,damage,name,第一擊,,,,,,,,,,第一击
,,,,,,,,constant,250,,,,,,,,,,
,,,,,,,,multiplier,300+45*SLv,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,,,,
,,,,,,-,damage,name,第二擊,,,,,,,,,,第二击
,,,,,,,,constant,100,,,,,,,,,,
,,,,,,,,multiplier,200+30*SLv,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,1,extra,physical_pierce,50,,,,,,,,,,
,,,,,,-,damage,name,第三擊,,,,,,,,,,第三击
,,,,,,,,constant,50,,,,,,,,,,
,,,,,,,,multiplier,100+15*SLv,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,2,extra,physical_pierce,100,,,,,,,,,,
,,,,,,-,list,text,此攻擊依據施放時距離決定攻擊次數。,,,,,,,,,,此攻击依据施放时距离决定攻击次数。
,,,,,,-,list,text,遊戲內顯示0m~3m ：1下,,,,,,,,,,游戏内显示0m~3m ：1下
,,,,,,-,list,text,遊戲內顯示4m~7m ：2下,,,,,,,,,,游戏内显示4m~7m ：2下
,,,,,,-,list,text,遊戲內顯示8m~12m：3下,,,,,,,,,,游戏内显示8m~12m：3下
,,,,,,-,list,text,不論攻擊段數是幾次，總動作時間與無敵時間都是相同的。,,,,,,,,,,不论攻击段数是几次，总动作时间与无敌时间都是相同的。
11,,非預設,弓,,,1,extra,physical_pierce,25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,,非預設,弓,,,2,extra,physical_pierce,50,,,,,,,,,,
12,弩弓獵人,預設/and,弩,箭矢,,-,text,text,副手不是箭矢也不是無裝備時，提升武器攻擊力、並且在使用狩獵技能時的技能效果將與裝備箭矢時相同。,,,,被動,,,,,,副手不是箭矢也不是无装备时，提升武器攻击力、并且在使用狩猎技能时的技能效果将与装备箭矢时相同。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,1,passive,weapon_atk,0,%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,,非預設/and,弩,無裝備,,,,,,,,,,,,,,,
12,,非預設,弩,,,1,passive,weapon_atk,2.5*SLv,%,,,,,,,,,
13,多重狩獵,預設/and,弩,箭矢,,1,text,text,依據副手裝備的不同，賦予技能不同名稱與效果。當副手為無裝備、箭矢、拳套時，對鎖定目標發動鋒銳狙擊。,,200 ,16 ,須蓄力,可以放入連擊,,1.5,,,依据副手装备的不同，赋予技能不同名称与效果。当副手为无装备、箭矢、拳套时，对锁定目标发动锋锐狙击。
,,,,,,,,mark,"鋒銳狙擊,獵狼猛襲,捕獵狙擊,獵手防衛",,,,,,,,,,"锋锐狙击,猎狼猛袭,捕猎狙击,猎手防卫"
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,20,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,
,,,,,,-,space,#,,,,,,,,,,,
,,,,,,2,proration,damage,physical,,,,,,,,,,
,,,,,,3,damage,name,鋒銳狙擊,,,,,,,,,,锋锐狙击
,,,,,,,,constant,200,,,,,,,,,,
,,,,,,,,multiplier,700+SLv*30+$BDEX*0.5+stack[0]*25,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,ailment_chance,extra[0]*2,,,,,,,,,,
,,,,,,,,ailment_name,降防,,,,,,,,,,降防
,,,,,,,,action_frame,67~45,,,,,,,,,,
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,-,formula_extra,texts,角色的物理貫穿%,,,,,,,,,,角色的物理贯穿%
,,,,,,,,values.0,@C.stat('physical_pierce'),,,,,,,,,,
,,,,,,10,extra,critical_rate,-25,,,,,,,,,,
,,,,,,11,,,,,,,,,,,,,
,,,,,,4,list,text,此技能蓄力時間不受詠唱速度影響。,,,,,,,,,,此技能蓄力时间不受咏唱速度影响。
,,,,,,5,list,text,若自身並非仇恨目標，則此技能不須蓄力即可發動。,,,,,,,,,,若自身并非仇恨目标，则此技能不须蓄力即可发动。
,,,,,,6,list,text,暴擊率降低的負面效果，僅有技能等級10的資料。,,,,,,,,,,暴击率降低的负面效果，仅有技能等级10的资料。
,,,,,,-,text,text,習得狩獵知識後，此技能的倍率提升。,,,,,,,,,,
,,,,,,,,skill,狩獵知識,,,,,,,,,,
,,,,,,-,stack,name,狩獵知識技能等級,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,default,10,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
13,,非預設/and,弩,拳套,,,,,,,,,,,,,,,
13,,非預設/and,弩,無裝備,,,,,,,,,,,,,,,
13,,非預設/and,弩,小刀,,3,damage,name,獵狼猛襲,,,12 ,瞬發,可以放入連擊,,0,,,猎狼猛袭
,,,,,,,,multiplier,500+50*SLv+$AGI+stack[0]*25,,,,,,,,,,
,,,,,,,,frequency,2,,,,,,,,,,
,,,,,,,,ailment_chance,,,,,,,,,,,
,,,,,,,,ailment_name,,,,,,,,,,,
,,,,,,,,action_frame,61~31,,,,,,,,,,
,,,,,,1,,text,副手為小刀發動時，瞬移到目標面前並發動獵狼猛襲。（瞬移時不受路徑上傷害影響）,,,,,,,,,,副手为小刀发动时，瞬移到目标面前并发动猎狼猛袭。 （瞬移时不受路径上伤害影响）
,,,,,,10,next,caption,#[MP消耗減半]。,,,,,,,,,,#[MP消耗减半]。
,,,,,,,,critical_rate,,,,,,,,,,,
,,,,,,11,extra,short_range_damage,10,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,
,,,,,,5,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,,,,,
13,,非預設/and,弩,魔導具,,1,,text,副手為魔導具發動時，對目標發動捕獵狙擊。該技能分為兩段：一段單體魔法傷害與一段範圍物理傷害。,,,12 ,瞬發,可以放入連擊,,0,,,副手为魔导具发动时，对目标发动捕猎狙击。该技能分为两段：一段单体魔法伤害与一段范围物理伤害。
,,,,,,20,proration,damage,magic,,,,,,,,,,
,,,,,,21,damage,name,捕獵狙擊(第一段),,,,,,,,,,捕猎狙击(第一段)
,,,,,,,,constant,200,,,,,,,,,,
,,,,,,,,multiplier,75*SLv+stack[0]*12.5,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,ailment_name,停止,,,,,,,,,,停止
,,,,,,,,ailment_chance,0,,,,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,3,damage,name,捕獵狙擊(第二段),,,,,,,,,,捕猎狙击(第二段)
,,,,,,,,multiplier,500+25*SLv+stack[0]*12.5,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,ailment_chance,,,,,,,,,,,
,,,,,,,,ailment_name,,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,effective_area,line,,,,,,,,,,
,,,,,,,,radius,2,,,,,,,,,,
,,,,,,,,move_distance,12,,,,,,,,,,
,,,,,,10,extra,caption,此傷害#[必定暴擊]。,,,,,,,,,,此伤害#[必定暴击]。
,,,,,,,,condition,當目標處於停止狀態時,,,,,,,,,,当目标处于停止状态时
,,,,,,,,critical_rate,,,,,,,,,,,
,,,,,,4,list,text,此技能僅會造成一次慣性，根據最初受到的傷害是第一段或第二段而定。,,,,,,,,,,此技能仅会造成一次惯性，根据最初受到的伤害是第一段或第二段而定。
,,,,,,5,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,,,,,
13,,非預設/and,弩,盾牌,,1,,text,副手為盾牌發動時，對目標發動獵手防衛。,,,12 ,瞬發,可以放入連擊,,0,,,副手为盾牌发动时，对目标发动猎手防卫。
,,,,,,3,,name,獵手防衛,,,,,,,,,,猎手防卫
,,,,,,,,multiplier,750+25*SLv+$VIT+stack[0]*25,,,,,,,,,,
,,,,,,,,frequency,3,,,,,,,,,,
,,,,,,,,ailment_chance,,,,,,,,,,,
,,,,,,,,ailment_name,,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,10,extra,condition,動作期間,,,,,,,,,,动作期间
,,,,,,,,caption,"受到的物理/魔法傷害減輕${[10,13,17,22,28,34,45,57,72,90][SLv-1]}%。",,,,,,,,,,"受到的物理/魔法伤害减轻${[10,13,17,22,28,34,45,57,72,90][SLv-1]}%。"
,,,,,,,,critical_rate,,,,,,,,,,,
,,,,,,11,extra,condition,發動成功後,,,,,,,,,,发动成功后
,,,,,,,,caption,獲得防衛狀態。,,,,,,,,,,获得防卫状态。
,,,,,,4,effect,physical_resistance,$shield_refining,,,,,,,,,,
,,,,,,,,magic_resistance,$shield_refining,,,,,,,,,,
,,,,,,,,duration,10,,,,,,,,,,
,,,,,,,,name,防衛,,,,,,,,,,防卫
,,,,,,5,extra,caption,每次使用技能造成傷害時，都將回復((角色HP上限×${SLv*0.1}%))的HP。,,,,,,,,,,每次使用技能造成伤害时，都将回复((角色HP上限×${SLv*0.1}%))的HP。
,,,,,,,,,,,,,,,,,,,
,,,,,,6,list,text,（未確認）對於限傷時視為多段傷害類的技能，每段傷害都會回復一次HP；但那些視為單段傷害的技能則指會回復一次HP。,,,,,,,,,,（未确认）对于限伤时视为多段伤害类的技能，每段伤害都会回复一次HP；但那些视为单段伤害的技能则指会回复一次HP。
13,,歷史紀錄,0,2023/11/09,,3,,multiplier,700+SLv*30,,,,,,,,,,
13,,歷史紀錄,1,2023/11/09,,3,,multiplier,700+SLv*30,,,,,,,,,,
13,,歷史紀錄,2,2023/11/09,,3,,multiplier,700+SLv*30,,,,,,,,,,
13,,歷史紀錄,5,2023/11/09,,11,extra,condition,動作期間受到物理/魔法傷害,,,,,,,,,,动作期间受到物理/魔法伤害
14,聚焦,預設,弓,,,-,text,text,賦予目標「靶標」狀態，攻擊該目標時遠距離威力增加，此效果對全隊有效。,,600 ,16 ,瞬發,可以放入連擊,,,,,
,,,,,,,,mark,"遠距離威力,靶標",,,,,,,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,list,text,同一時間只能有一個目標有靶標狀態。,,,,,,,,,,
,,,,,,-,effect,name,靶標,,,,,,,,,,
,,,,,,,,type,party,,,,,,,,,,
,,,,,,,,long_range_damage,Math.floor((SLv+1)/2),,,,,,,,,,
,,,,,,,,end_condition,至目標死亡或賦予其他目標靶標時,,,,,,,,,,
,,,,,,,,condition,對受影響的目標,,,,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,,,,
,,,,,,1,extra,condition,裝備弓時,,,,,,,,,,
,,,,,,,,caption,"使用星墜攻擊目標時，從釋放技能到隕星箭落下的間隔時間縮短${2.5*SLv}%。（滿級時縮短1秒）<br>
此外，每發隕星箭都會重新鎖定目標位置。",,,,,,,,,,
,,,,,,,,skill,星墜,,,,,,,,,,
,,,,,,,,mark,隕星箭,,,,,,,,,,
,,,,,,-,extra,condition,若自身裝備小刀或盾牌(隊友無法享受此效果)，攻擊此目標時,,,,,,,,,,
,,,,,,,,short_range_damage,Math.floor(SLv/2),,,,,,,,,,
14,,非預設,弩,,,1,,caption,使用星墜攻擊目標時，每發隕星箭落下的間隔時間縮短${5*SLv}%。（滿級時縮短0.5秒）,,,,,,,,,,
,,,,,,,,condition,裝備弩時,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
15,偽裝術,預設,弓,,,1,effect,duration,180,,400 ,,瞬發,可以放入連擊,,,,,
,,,,,,,,atk,CLv*SLv/10,,,,,,,,,,
,,,,,,,,critical_rate,4*SLv,,,,,,,,,,
,,,,,,-,extra,caption,來自技能基礎MP消耗產生的恨意值，減少${20+4*SLv}%，但單個技能最低僅能減至100恨意。,,,,,,,,,,
,,,,,,-,list,text,需在自身未成為任意敵人的仇恨目標時，才能施展此技能。,,,,,,,,,,
,,,,,,2,list,text,效果期間內，若自身變為仇恨目標，此技能效果結束並使自己陷入#[昏厥]2.5秒；但如果未組隊，則不會進入昏厥。,,,,,,,,,,
,,,,,,-,tips,text,只要有組隊就會產生昏厥，即使隊伍成員不在場。,,,,,,,,,,
,,,,,,3,text,text,主手弓時，上述效果中的「減少恨意值」將變為被動效果，但被動存在時效果減半。,,,,,,,,,,
,,,,,,,,mark,被動效果,,,,,,,,,,
,,,,,,-,tips,text,此技能數據與角色等級有關，注意調整下方選項內的角色等級以得到正確數值。,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,
15,,非預設,弩,,,1,,critical_rate,2*SLv,,,,,,,,,,
,,,,,,,,critical_rate.display,4*SLv,,,,,,,,,,
,,,,,,3,text,text,主手弩時，上述效果中的「暴擊率提升」將變為被動效果，但被動存在時效果減半。,,,,,,,,,,
,,,,,,4,effect,critical_rate,2*SLv,,,,,,,,,,
,,,,,,,,name,弩被動效果(為避免衝突，在角色模擬中主動效果的暴擊率加成量砍半),,,,,,,,,,
,,,,,,,,invisible,1,,,,,,,,,,
15,,非預設,,,,1,,atk,CLv/2*(SLv/10),,,,,,,,,,
,,,,,,2,list,text,效果期間內，若自身變為仇恨目標，此技能效果結束並使自己陷入#[昏厥]5秒；但如果未組隊，則不會進入昏厥。,,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,狩獵知識,預設,弩,,,-,passive,caption,使多重狩獵的技能倍率提升${25*SLv}。,,,,被動,,,,,,
,,,,,,,,skill,多重狩獵,,,,,,,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,tips,text,不論副手裝甚麼，效果都一樣。,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,1,祭司技能,,,,,,,,,,,,,,,,,
0,祝福,預設/and,法杖,盾牌,,-,effect,caption,使自身及所有隊伍成員獲得祝福。,,100 ,,瞬發,可以放入連擊,慢,,,,使自身及所有队伍成员获得祝福。
,,,,,,,,branch,祝福,,,,,,,,,,祝福
,,,,,,,,type,party,,,,,,,,,,
,,,,,,1,heal,name,祝福,,,,,,,,,,祝福
,,,,,,,,type,hp,,,,,,,,,,
,,,,,,,,cycle,5,,,,,,,,,,
,,,,,,,,duration,"Math.floor((SLv+2)/3)*5+Math.floor((stack-1)/2)*5*Math.min(1,stack)+Math.min(1,stack)*Math.floor(SLv/10)*5",,,,,,,,,,
,,,,,,,,frequency,"Math.floor((SLv+5)/3)+Math.max(0,Math.floor((stack-1)/2))+Math.floor(SLv/10)*Math.min(1,stack)",,,,,,,,,,
,,,,,,,,cycle,5,,,,,,,,,,
,,,,,,,,constant,"10+SLv*5+(10+Math.floor(SLv/10)*30)*Math.min(1,stack)+2*stack",,,,,,,,,,
,,,,,,,,extra_text,"自身MATK, 自身INT",,,,,,,,,,"自身MATK, 自身INT"
,,,,,,,,extra_value,"Math.floor((SLv+6)/4)*0.01+(Math.min(1,stack)*Math.floor((stack+2)/4)+Math.floor(stack/10))*0.01+0.05+Math.min(1,stack)*Math.floor(SLv/10)*0.05",,,,,,,,,,
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,,,,
,,,,,,-,tips,text,施放完畢時即恢復一次，隨後每5秒恢復一次。,,,,,,,,,,施放完毕时即恢复一次，随后每5秒恢复一次。
,,,,,,-,text,text,學習強化祝福後，將增加此技能回復量與次數。,,,,,,,,,,学习强化祝福后，将增加此技能回复量与次数。
,,,,,,,,skill,強化祝福,,,,,,,,,,强化祝福
,,,,,,-,stack,name,強化祝福等級,,,,,,,,,,强化祝福等级
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,value,getSkillLevel('1-5-2'),,,,,,,,,,
0,,非預設,法杖,,,,,,,,,,,,,,,,
0,,非預設,魔導具,魔導具,,1,heal,extra_text,自身MATK,,,,,,,,,,自身MATK
,,,,,,,,extra_value,"Math.floor((SLv+2)/4)*0.01+Math.min(1,stack)*Math.floor((stack+2)/4)*0.01",,,,,,,,,,
0,,非預設,,,,1,heal,extra_text,自身MATK,,,,,,,,,,自身MATK
,,,,,,,,extra_value,"Math.floor((SLv+2)/4)*0.01+Math.min(1,stack)*Math.floor((stack+2)/4)*0.01",,,,,,,,,,
1,榮耀頌歌,預設,法杖,,,-,effect,type,party,,100 ,,須詠唱,可以放入連擊,慢,1,,,
,,,,,,,,def,50+Math.floor(SLv*SLv*1.5),%,,,,,,,,,
,,,,,,,,mdef,50+Math.floor(SLv*SLv*1.5),%,,,,,,,,,
,,,,,,,,duration,30,,,,,,,,,,
,,,,,,,,action_frame,171~97,,,,,,,,,,
,,,,,,1,extra,condition,隊伍中裝備盾牌的成員,,,,,,,,,,队伍中装备盾牌的成员
,,,,,,,,guard_regenerate,10+Math.floor(SLv/2),,,,,,,,,,
1,,非預設,,,,1,extra,guard_regenerate,5+Math.floor(SLv/2),,,,,,,,,,
