名稱,外框,文字,名稱（英文）,文字,名稱(日文),文字,名稱（簡體中文）,文字
,,對於坦克傭兵，其普通攻擊每次造成50恨意，但若怪物的仇恨目標不為傭兵時，其造成的所有攻擊/指向性技能的仇恨將變為3倍。,,,,,,对于坦克佣兵，其普通攻击每次造成50恨意，但若怪物的仇恨目标不为佣兵时，其造成的所有攻击/指向性技能的仇恨将变为3倍。
阻擋（玩家）,category,戰鬥系統說明,,,,,阻挡（玩家）,战斗系统说明
,caption,裝備特定裝備將可使用阻擋，阻擋成功時可消耗((!阻擋力))減輕傷害，((!阻擋力))可隨時間恢復。,,,,,,装备特定装备将可使用阻挡，阻挡成功时可消耗((!阻挡力))减轻伤害，((!阻挡力))可随时间恢复。
,list,基礎機制請參閱((!tap攻略))：https://www.taptap.com/topic/21286148?share_id=bb67b5ae6f13。此處僅做補充。,,,,,,基础机制请参阅((!tap攻略))：https://www.taptap.com/topic/21286148?share_id=bb67b5ae6f13。此处仅做补充。
,,在魔法書中，((!阻擋力))指設置在快捷鍵上的手動阻擋鈕，所顯示的數值（2~3位數），((!阻擋性能))則指在設定頁面中看到的值（4~5位數），阻擋力×100=阻擋性能。,,,,,,在魔法书中，((!阻挡力))指设置在快捷键上的手动阻挡钮，所显示的数值（2~3位数），((!阻挡性能))则指在设定页面中看到的值（4~5位数），阻挡力×100=阻挡性能。
,,在魔法書中，若出現((!阻擋回復))的具體數值（如：25點/s），表示每秒可回復多少點的((!阻擋性能))；又或是將其除以100，相當於每秒可回復多少((!阻擋力))。,,,,,,在魔法书中，若出现((!阻挡回复))的具体数值（如：25点/s），表示每秒可回复多少点的((!阻挡性能))；又或是将其除以100，相当于每秒可回复多少((!阻挡力))。
,,阻擋傷害時將附帶((!異常抗性))，該((!異常抗性))機率可查看((!防衛技能))「((!物理防禦))」技能的頁面。,,,,,,阻挡伤害时将附带((!异常抗性))，该((!异常抗性))机率可查看((!防卫技能))「((!物理防御))」技能的页面。
閃躲（玩家）,category,戰鬥系統說明,,,,,闪躲（玩家）,战斗系统说明
,caption,裝備特定裝備將可使用閃躲，閃躲發動時將朝指定方向迅速移動約4m，並消耗((!閃躲次數))，((!閃躲次數))可隨時間恢復。,,,,,,装备特定装备将可使用闪躲，闪躲发动时将朝指定方向迅速移动约4m，并消耗((!闪躲次数))，((!闪躲次数))可随时间恢复。
,list,基礎機制請參閱((!巴哈百科))：https://wiki2.gamer.com.tw/wiki.php?n=72740:%E9%98%BB%E6%93%8B%E3%80%81%E9%96%83%E8%BA%B2&ss=72740&f=M。此處僅做補充。,,,,,,基础机制请参阅((!巴哈百科))：https://wiki2.gamer.com.tw/wiki.php?n=72740:%E9%98%BB%E6%93%8B%E3%80%81%E9%96%83%E8%BA%B2&ss=72740&f=M。此处仅做补充。
,,裝備可提供的((!基礎閃躲回復))，((!輕化裝備))：0.2、((!小刀))：0.3、((!魔導具))：0.1、((!拳套))：0.4、((!雙劍))：0.1。,,,,,,装备可提供的((!基础闪躲回复))，((!轻化装备))：0.2、((!小刀))：0.3、((!魔导具))：0.1、((!拳套))：0.4、((!双剑))：0.1。
,,最終閃躲回復為：((基礎閃躲回復合計值×(100+閃躲回復上升)% )),,,,,,最终闪躲回复为：((基础闪躲回复合计值×(100+闪躲回复上升)% ))
,,計算出的閃躲回復值，表示每秒可回復多少次的閃躲。,,,,,,计算出的闪躲回复值，表示每秒可回复多少次的闪躲。
阻擋（怪物）,category,戰鬥系統說明,,,,,阻挡（怪物）,战斗系统说明
,caption,每隻怪物有各自不同的((!阻擋率))，怪物發生阻擋時，固定將傷害變為原先的1/4（等於阻擋力75）。,,,,,,每只怪物有各自不同的((!阻挡率))，怪物发生阻挡时，固定将伤害变为原先的1/4（等于阻挡力75）。
,list,怪物的阻擋可以被((!破防))屬性無效化。,,,,,,怪物的阻挡可以被((!破防))属性无效化。
,,但有部分阻擋屬於((!特殊阻擋))，是遊戲機制強制減傷，破防仍然無效。,,,,,,
閃躲（怪物）,category,戰鬥系統說明,,,,,闪躲（怪物）,战斗系统说明
,caption,每隻怪物有各自不同的((!閃躲率))，怪物發生閃躲時，傷害無效。大部分的((!魔法類型))傷害不會被閃躲。,,,,,,每只怪物有各自不同的((!闪躲率))，怪物发生闪躲时，伤害无效。大部分的((!魔法类型))伤害不会被闪躲。
,list,怪物的閃躲可以被((!看穿))屬性無效化。,,,,,,怪物的闪躲可以被((!看穿))属性无效化。
,,但有部分閃躲屬於((!特殊閃躲))，是遊戲機制強制不讓你命中，看穿仍然無效。,,,,,,
,,若((!普通攻擊))被閃躲，將不造成慣性，但技能被閃躲時仍會正常造成慣性。,,,,,,若((!普通攻击))被闪躲，将不造成惯性，但技能被闪躲时仍会正常造成惯性。
怪物攻擊類型,category,戰鬥系統說明,,,,,怪物攻击类型,战斗系统说明
,caption,遊戲中，怪物所發動的攻擊多數都能被劃分為一種類型，部分系統與角色能力需要該攻擊符合特定類型才會作用。,,,,,,游戏中，怪物所发动的攻击多数都能被划分为一种类型，部分系统与角色能力需要该攻击符合特定类型才会作用。
,list,以下是目前遊戲中明確提及的攻擊類型，須注意這並非全部的攻擊類型，有部分攻擊尚未被劃分。,,,,,,
,,1. 單體傷害：僅針對一個目標的攻擊，沒有範圍，因此無法通過單純的移動迴避，可通過((!閃躲))或部分防禦技能將其無效化。,,,,,,1. 单体伤害：仅针对一个目标的攻击，没有范围，因此无法通过单纯的移动回避，可通过((!闪躲))或部分防御技能将其无效化。
,,2. 範圍傷害：傷害中心點為((!我方角色))的技能，警告範圍為((!紅色))。,,,,,,2. 范围伤害：伤害中心点为((!我方角色))的技能，警告范围为((!红色))。
,,3. 敵方周圍傷害：傷害中心點為((!怪物自身))的技能，警告範圍為((!紅色))。,,,,,,3. 敌方周围伤害：伤害中心点为((!怪物自身))的技能，警告范围为((!红色))。
,,4. 衝撞傷害：直線狀且敵方本體會((!沿攻擊範圍移動))之技能，警告範圍為((!紅色))。,,,,,,4. 冲撞伤害：直线状且敌方本体会((!沿攻击范围移动))之技能，警告范围为((!红色))。
,,5. 直線傷害：自敵方正面發出的((!直線狀攻擊))，警告範圍為((!紅色))。,,,,,,5. 直线伤害：自敌方正面发出的((!直线状攻击))，警告范围为((!红色))。
,,6. 貼地傷害：貼地移動之傷害，會受地形阻擋，表現形式通常為((!劍氣、射刃))。警告範圍為((!藍色))。,,,,,,6. 贴地伤害：贴地移动之伤害，会受地形阻挡，表现形式通常为((!剑气、射刃))。警告范围为((!蓝色))。
,,7. 子彈傷害：向我方角色射出((!球狀投射物))之技能，路徑中與著彈點處可以分別造成傷害，警告範圍為((!藍色))。,,,,,,7. 子弹伤害：向我方角色射出((!球状投射物))之技能，路径中与著弹点处可以分别造成伤害，警告范围为((!蓝色))。
,,8. 地面傷害：放置於地面上的((!固定傷害領域))，表現形式為地刺，警告範圍為((!藍色))。,,,,,,8. 地面伤害：放置于地面上的((!固定伤害领域))，表现形式为地刺，警告范围为((!蓝色))。
,,9. 隕石傷害：自((!空中垂直落下))之技能，表現形式為隕石，警告範圍為((!藍色))。,,,,,,9. 陨石伤害：自((!空中垂直落下))之技能，表现形式为陨石，警告范围为((!蓝色))。
,,10. 爆炸傷害：先在場上產生如光束落下般的區域，隨後爆炸並消失的技能，警告範圍為((!藍色))。,,,,,,
,,11. 吸引傷害：在場上產生會持續造成傷害並把玩家吸引至中心區域的領域，表現形式為漩渦或龍捲風，警告範圍為((!藍色))。,,,,,,
玩家造成傷害的計算,category,戰鬥系統說明,,,,,玩家造成伤害的计算,战斗系统说明
,caption,玩家造成傷害的計算公式為：(( [(有效ATK+技能常數+拔刀傷害(常數) )×倍率項]+固定傷害加成 ))。,,,,,,玩家造成伤害的计算公式为：(( [(有效ATK+技能常数+拔刀伤害(常数) )×倍率项]+固定伤害加成 ))。
,list,倍率項的計算順序為：((×暴擊傷害☆×屬性攻擊倍率☆×技能倍率☆×拔刀傷害(倍率)☆×穩定率浮動值☆×慣性倍率☆×(連擊倍率×距離威力×總傷害倍率×最終傷害倍率)☆))。,,,,,,倍率项的计算顺序为：((×暴击伤害☆×属性攻击倍率☆×技能倍率☆×拔刀伤害(倍率)☆×稳定率浮动值☆×惯性倍率☆×(连击倍率×距离威力×总伤害倍率×最终伤害倍率)☆))。
,,上式須由左至右計算，標記☆的位置，表示小數點捨去。另外由於二進制小數點運算上的限制，有時計算傷害與實際傷害會有正負2以內的誤差。,,,,,,上式须由左至右计算，标记☆的位置，表示小数点舍去。另外由于二进制小数点运算上的限制，有时计算伤害与实际伤害会有正负2以内的误差。
,,魔法傷害須注意#[魔法暴擊傷害][法術暴擊轉化率]的計算、以及INT對屬性傷害的額外加成。,,,,,,魔法伤害须注意#[魔法暴击伤害][法术暴击转化率]的计算、以及INT对属性伤害的额外加成。
,,倍率項計算順序來源：lounge.html.xdomain.jp,,,,,,倍率项计算顺序来源：lounge.html.xdomain.jp
玩家受傷害計算,category,戰鬥系統說明,,,,,玩家受伤害计算,战斗系统说明
,caption,此條目簡述玩家受到攻擊時的傷害計算包含那些減傷參數，不包含順序部分（該部分資訊皆久未更新）,,,,,,此条目简述玩家受到攻击时的伤害计算包含那些减伤参数，不包含顺序部分（该部分资讯皆久未更新）
,list,在2021/06/29的((!防禦系統更新))後，目前所有減傷能力（包括技能效果）同時作用的計算均為((!相乘))（先計算(100-各項目提供的減傷幅度)%後再相乘），不再有項目採用疊加。,,,,,,在2021/06/29的((!防御系统更新))后，目前所有减伤能力（包括技能效果）同时作用的计算均为((!相乘))（先计算(100-各项目提供的减伤幅度)%后再相乘），不再有项目采用叠加。
,,所有傷害類型均會被盾牌、身體防具、追加裝備的((!精鍊值))減輕傷害。,,,,,,所有伤害类型均会被盾牌、身体防具、追加装备的((!精炼值))减轻伤害。
,,傷害類型為物理/魔法時，DEF、MDEF與物理/魔法抗性將減輕傷害。,,,,,,伤害类型为物理/魔法时，DEF、MDEF与物理/魔法抗性将减轻伤害。
,,擁有屬性抗性時（如：火屬性傷害減輕10%），當((!攻擊屬性))符合時發動減傷效果。需特別注意：怪物的((!攻擊屬性))與怪物((!自身屬性))不一定相同，甚至有著可同時使用4種以上屬性攻擊的怪物。,,,,,,拥有属性抗性时（如：火属性伤害减轻10%），当((!攻击属性))符合时发动减伤效果。需特别注意：怪物的((!攻击属性))与怪物((!自身属性))不一定相同，甚至有着可同时使用4种以上属性攻击的怪物。
,,擁有#[傷害類型][怪物攻擊類型]抗性時，對符合類型的攻擊減輕傷害。,,,,,,拥有#[伤害类型][怪物攻击类型]抗性时，对符合类型的攻击减轻伤害。
,,以上所有類型的減傷均有((!50%衰減機制))，各個類型分開計算。,,,,,,以上所有类型的减伤均有((!50%衰减机制))，各个类型分开计算。
,,技能提供的減傷則無衰減，-90%傷害便等於傷害×0.1，同時發動多個技能的效果時以疊乘計算。,,,,,,技能提供的减伤则无衰减，-90%伤害便等于伤害×0.1，同时发动多个技能的效果时以叠乘计算。
,,另有部分技能的減傷屬於同類項，同時發動時僅取效果值較高者（如聖域與回復氣功），該部分尚須更多測試。,,,,,,另有部分技能的减伤属于同类项，同时发动时仅取效果值较高者（如圣域与回复气功），该部分尚须更多测试。
,,((!聖域))技能中的「傷害低於最大血量的10%」的判定，在角色自身的減傷屬性計算後、大部分減傷技能作用之前。,,,,,,((!圣域))技能中的「伤害低于最大血量的10%」的判定，在角色自身的减伤属性计算后、大部分减伤技能作用之前。
,,怪物的物理傷害，穩定率為80%、魔法傷害穩定率為60%；怪物的物理攻擊有暴擊率，暴擊時傷害為1.5倍；怪物有25%的保障命中率。,,,,,,怪物的物理伤害，稳定率为80%、魔法伤害稳定率为60%；怪物的物理攻击有暴击率，暴击时伤害为1.5倍；怪物有25%的保障命中率。
穩定率,category,戰鬥系統說明,,,,,稳定率,战斗系统说明
,caption,((!穩定率))表示造成傷害的浮動程度，若將按照傷害公式計算出的傷害定為((!100%))，最終傷害將在((!穩定率%))~((!100%))之間，以每1%為間距浮動。,,,,,,((!稳定率))表示造成伤害的浮动程度，若将按照伤害公式计算出的伤害定为((!100%))，最终伤害将在((!稳定率%))~((!100%))之间，以每1%为间距浮动。
,list,角色((!基礎穩定率))為：((武器穩定率+職業屬性點補正+裝備補正))，((!基礎穩定率))上限100%，((!最終穩定率)))尚須考慮#[Graze]與異常狀態#[疲勞]等的影響。,,,,,,角色((!基础稳定率))为：((武器稳定率+职业属性点补正+装备补正))，((!基础稳定率))上限100%，((!最终稳定率)))尚须考虑#[Graze]与异常状态#[疲劳]等的影响。
,,職業屬性點補正，根據主手武器類型而定，分別為：<br>單手劍：(DEX*3+STR)÷40<br>拔刀劍(DEX+STR*3)÷40<br>雙手劍、魔導具：DEX÷10<br>弓、旋風槍：DEX÷20+STR÷20<br>弩、法杖：STR÷20<br>拳套：DEX÷40<br>空手：DEX÷2.85。,,,,,,职业属性点补正，根据主手武器类型而定，分别为：<br>单手剑：(DEX*3+STR)÷40<br>拔刀剑(DEX+STR*3)÷40<br>双手剑、魔导具：DEX÷10<br>弓、旋风枪：DEX÷20+STR÷20<br>弩、法杖：STR÷20<br>拳套：DEX÷40<br>空手：DEX÷2.85。
,,傷害類型為物理時，((!物理穩定率))即等於上述所計算出的穩定率。((!魔法傷害))則進行#[魔法穩定率]的計算。,,,,,,伤害类型为物理时，((!物理稳定率))即等于上述所计算出的稳定率。 ((!魔法伤害))则进行#[魔法稳定率]的计算。
魔法穩定率,category,戰鬥系統說明,,,,,,战斗系统说明
,caption,魔法類型傷害的#[穩定率]使用((!魔法穩定率))。,,,,,,魔法类型伤害的#[稳定率]使用((!魔法稳定率))。
,list,((!魔法穩定率))的基礎值公式為：(( 50+角色基礎穩定率÷2 ))。,,,,,,((!魔法稳定率))的基础值公式为：(( 50+角色基础稳定率÷2 ))。
,,當((!魔法穩定率))低於90%時，提升魔法穩定率會提升的是((!傷害浮動值的下限))，例如80%魔穩傷害會在((!80%~100%))間浮動；88%魔穩傷害則是在((!88%~100%))間浮動。,,,,,,当((!魔法稳定率))低于90%时，提升魔法稳定率会提升的是((!伤害浮动值的下限))，例如80%魔稳伤害会在((!80%~100%))间浮动；88%魔稳伤害则是在((!88%~100%))间浮动。
,,當角色((!魔法穩定率))超過90%後，傷害浮動值的下限會固定在90%，超過的部分將轉而使((!傷害浮動值的上限))+1%，因此魔穩對傷害((!期望值))的收益在90%以前或以後並不會改變；((!浮動值上限))通常最大為((!110%))。,,,,,,当角色((!魔法稳定率))超过90%后，伤害浮动值的下限会固定在90%，超过的部分将转而使((!伤害浮动值的上限))+1%，因此魔稳对伤害((!期望值))的收益在90%以前或以后并不会改变；((!浮动值上限))通常最大为((!110%))。
,,例如，96%的角色((!基礎穩定率))，((!魔法穩定率))為98%，魔法傷害會在原始傷害的((!90%~108%))之間浮動。,,,,,,例如，96%的角色((!基础稳定率))，((!魔法稳定率))为98%，魔法伤害会在原始伤害的((!90%~108%))之间浮动。
,,技能((!縮時詠唱))的魔法穩定提升效果，會直接加在角色的((!魔法穩定率))上，且可以使((!魔法穩定率))超出((!100%))。,,,,,,技能((!缩时咏唱))的魔法稳定提升效果，会直接加在角色的((!魔法稳定率))上，且可以使((!魔法稳定率))超出((!100%))。
,,但是當((!魔法穩定率))超過((!100%))時，浮動值上限雖然不能超過((!110%))，但出現最大傷害((!110%))的機率卻會提升。具體的說，假設角色((!魔法穩定率))達到((!120%))，理論浮動值上限可達到((!130%))，系統骰隨機數時會在((!90~130%))之間機率均等的選出一個數，若這個數超過110%則被強制變回110%。所以上述例子出現110%傷害的機率會是(( (130-110+1)/(130-90+1) ))=51.2%。,,,,,,但是当((!魔法稳定率))超过((!100%))时，浮动值上限虽然不能超过((!110%))，但出现最大伤害((!110%))的机率却会提升。具体的说，假设角色((!魔法稳定率))达到((!120%))，理论浮动值上限可达到((!130%))，系统骰随机数时会在((!90~130%))之间机率均等的选出一个数，若这个数超过110%则被强制变回110%。所以上述例子出现110%伤害的机率会是(( (130-110+1)/(130-90+1) ))=51.2%。
,,若計算傷害期望值，則魔法穩定率超過100%時，每1點穩定的收益會逐步下降，例如110%提高至111%的收益僅0.2%（在100%以前是每1魔穩0.5%收益）。,,,,,,若计算伤害期望值，则魔法稳定率超过100%时，每1点稳定的收益会逐步下降，例如110%提高至111%的收益仅0.2%（在100%以前是每1魔稳0.5%收益）。
,,技能((!穩定術))的魔法穩定提升效果同樣能造成前述的現象，不同的是((!穩定術))提升的魔穩甚至能使((!浮動值上限))突破((!110%))，最大達到((!120%))傷害。不過超出((!120%))浮動值上限後的計算邏輯仍與前述的相同。,,,,,,技能((!稳定术))的魔法稳定提升效果同样能造成前述的现象，不同的是((!稳定术))提升的魔稳甚至能使((!浮动值上限))突破((!110%))，最大达到((!120%))伤害。不过超出((!120%))浮动值上限后的计算逻辑仍与前述的相同。
追擊,category,戰鬥系統說明,,,,,追击,战斗系统说明
,caption,裝備帶有((!物理追擊))或((!魔法追擊))屬性時，每次((!普通攻擊))皆有機率造成追加傷害，傷害倍率即為物理追擊/魔法追擊倍率。,,,,,,装备带有((!物理追击))或((!魔法追击))属性时，每次((!普通攻击))皆有机率造成追加伤害，伤害倍率即为物理追击/魔法追击倍率。
,list,((!追擊))發生機率初始為((!25%))，目前僅能通過技能提升。,,,,,,((!追击))发生机率初始为((!25%))，目前仅能通过技能提升。
,,((!追擊))的傷害計算，受目標DEF、MDEF、物理/魔法抗性影響。,,,,,,((!追击))的伤害计算，受目标DEF、MDEF、物理/魔法抗性影响。
,,((!追擊))的傷害計算，受自身穩定率、距離威力、屬性傷害影響。,,,,,,((!追击))的伤害计算，受自身稳定率、距离威力、属性伤害影响。
,,((!追擊))永遠不會暴擊、閃躲、MISS或#Graze ，但會被阻擋。,,,,,,((!追击))永远不会暴击、闪躲、MISS或#Graze ，但会被阻挡。
,,((!追擊傷害))受物理/魔法慣性影響，但不造成慣性。,,,,,,((!追击伤害))受物理/魔法惯性影响，但不造成惯性。
,,((!追擊))僅僅是造成傷害，不會發生攻回、#猛毒 的扣血、#畏懼 的中斷動作。大部分技能計算行動次數時亦不會受到影響，僅有((!復仇女神))除外。,,,,,,((!追击))仅仅是造成伤害，不会发生攻回、#猛毒 的扣血、#畏惧 的中断动作。大部分技能计算行动次数时亦不会受到影响，仅有((!复仇女神))除外。
雷吉斯托環,category,遊戲系統說明,,,レジスタレット,用語説明,雷吉斯托环,游戏系统说明
,caption,從 選單→角色 進入該功能，為一特殊的角色強化系統，通過裝備((!晶石盒))獲得各式各樣的能力，((!晶石盒))可隨自身喜好任意更換。,,,,,,从 选单→角色 进入该功能，为一特殊的角色强化系统，通过装备((!晶石盒))获得各式各样的能力，((!晶石盒))可随自身喜好任意更换。
,list,主線通過第四章後，在艾爾．斯卡羅城將出現NPC((!史東迪))，可於此挑戰特殊關卡「((!史東迪的實驗))」，首次通關後解鎖((!雷吉斯托環))功能，之後可在此副本繼續挑戰取得((!晶石盒))與((!晶石粉末))（需要隊長持有挑戰次數）。,,,,,,主线通过第四章后，在艾尔．斯卡罗城将出现NPC((!史东迪))，可于此挑战特殊关卡「((!史东迪的实验))」，首次通关后解锁((!雷吉斯托环))功能，之后可在此副本继续挑战取得((!晶石盒))与((!晶石粉末))（需要队长持有挑战次数）。
,,((!晶石盒))可合成並強化等級，各晶石盒等級上限不同。在本站上若((!晶石盒))效果顯示為：+○○~○○，前者表示晶石盒1級時的效果，後者表示滿級時效果。,,,,,,((!晶石盒))可合成并强化等级，各晶石盒等级上限不同。在本站上若((!晶石盒))效果显示为：+○○~○○，前者表示晶石盒1级时的效果，后者表示满级时效果。
,,晶石盒初始僅能裝備1種，可通過消耗((!晶石粉末))擴充可裝備數量，最大10種。,,,,,,晶石盒初始仅能装备1种，可通过消耗((!晶石粉末))扩充可装备数量，最大10种。
,,同一帳號內，不同角色間的((!晶石盒))與可裝備上限相同，但裝備狀況都是獨立記錄的，不會發生更換角色就須重新設定晶石盒的狀況；晶石盒效果不作用於傭兵。,,,,,,同一帐号内，不同角色间的((!晶石盒))与可装备上限相同，但装备状况都是独立记录的，不会发生更换角色就须重新设定晶石盒的状况；晶石盒效果不作用于佣兵。
,,若一個技能擁有兩種以上的晶石盒（如：((!魔力共鳴))），在同時裝備時只有在((!雷吉斯托環))欄位中較上方者生效。,,,,,,若一个技能拥有两种以上的晶石盒（如：((!魔力共鸣))），在同时装备时只有在((!雷吉斯托环))栏位中较上方者生效。
納刀移動,category,遊戲系統說明,,,,,纳刀移动,游戏系统说明
,caption,為((!拔刀劍))武器的固有特性。開始((!普通攻擊))或部份((!拔刀技能))後、在動作結束前按住方向鍵，普通攻擊結束後角色將往方向鍵方向滑行。也被稱作((!滑步))。,,,,,,为((!拔刀剑))武器的固有特性。开始((!普通攻击))或部份((!拔刀技能))后、在动作结束前按住方向键，普通攻击结束后角色将往方向键方向滑行。也被称作((!滑步))。
,list,僅在((!拔刀劍))為主手時有效，副手持拔刀劍無此動作。,,,,,,仅在((!拔刀剑))为主手时有效，副手持拔刀剑无此动作。
,,只有部分拔刀技能可在動作中觸發((!納刀移動))，且若該技能置於((!連擊中))（非最後一個連擊技能）則無法觸發。,,,,,,只有部分拔刀技能可在动作中触发((!纳刀移动))，且若该技能置于((!连击中))（非最后一个连击技能）则无法触发。
,,2020/07/16後新增：使用((!納刀移動))後，角色的下一次((!一般攻擊))，最終傷害將提升((!100%))、且必定暴擊。,,,,,,2020/07/16后新增：使用((!纳刀移动))后，角色的下一次((!一般攻击))，最终伤害将提升((!100%))、且必定暴击。
,,承上，此效果被消耗後，將增加((!畫龍點睛))技能的((!疊層數))。,,,,,,承上，此效果被消耗后，将增加((!画龙点睛))技能的((!叠层数))。
隊伍外寵物能力懲罰,category,遊戲系統說明,,,,,队伍外宠物能力惩罚,游戏系统说明
,caption,2019/10/24更新後，寵物可在隊伍空間不足時，進入隱藏之((!額外隊伍))參戰。作為平衡，依據((!角色數量))，會使寵物得到能力懲罰。,,,,,,2019/10/24更新后，宠物可在队伍空间不足时，进入隐藏之((!额外队伍))参战。作为平衡，依据((!角色数量))，会使宠物得到能力惩罚。
,list,只要隊伍的((!角色數量))大於2（玩家、傭兵皆納入計算），懲罰就會對所有寵物生效。,,,,,,只要队伍的((!角色数量))大于2（玩家、佣兵皆纳入计算），惩罚就会对所有宠物生效。
,,受懲罰的能力包含：((!攻擊傷害))、ASPD、CSPD、((!攻擊MP回復))、((!MP自然回復))、受((!充電寵物回復量))。,,,,,,受惩罚的能力包含：((!攻击伤害))、ASPD、CSPD、((!攻击MP回复))、((!MP自然回复))、受((!充电宠物回复量))。
,,滿足懲罰條件時，上述受影響之能力變為原先的((100-(角色數量-1)×17)) %。,,,,,,满足惩罚条件时，上述受影响之能力变为原先的((100-(角色数量-1)×17)) %。
,,膽小、沉穩性格的戰鬥中回復MP，僅有依((!MP自然回復))計算的部分受影響，性格所帶的額外MP回復不受影響。,,,,,,胆小、沉稳性格的战斗中回复MP，仅有依((!MP自然回复))计算的部分受影响，性格所带的额外MP回复不受影响。
,,((!合成次數))只可減輕((!攻擊傷害))的懲罰量，而次數需求過於龐大，可以忽略。,,,,,,((!合成次数))只可减轻((!攻击伤害))的惩罚量，而次数需求过于庞大，可以忽略。
,,關於((!合成次數))對懲罰的緩和可參考：((!https://forum.gamer.com.tw/embed.php?bsn=28271&sn=31888))。,,,,,,关于((!合成次数))对惩罚的缓和可参考：((!https://forum.gamer.com.tw/embed.php?bsn=28271&sn=31888))。
技能常數,category,名詞說明,,,,,,名词说明
,caption,技能計算傷害時，不被怪物抗性減免的基礎值的部分，稱為((!技能常數))，官方用語以「((!技能威力))」稱呼之。,,,,,,技能计算伤害时，不被怪物抗性减免的基础值的部分，称为((!技能常数))，官方用语以「((!技能威力))」称呼之。
,list,大約有一半以上的技能，其((!技能常數))等同於技能的((!基礎消耗MP))，但由於例外技能較多，不適合作為常規數值看待。,,,,,,大约有一半以上的技能，其((!技能常数))等同于技能的((!基础消耗MP))，但由于例外技能较多，不适合作为常规数值看待。
,,「普通攻擊常數」可視為普通攻擊的技能常數，基礎值為0，可通過部分技能提升。,,,,,,「普通攻击常数」可视为普通攻击的技能常数，基础值为0，可通过部分技能提升。
技能倍率,category,名詞說明,,,,,,名词说明
,caption,技能計算傷害時，在基礎值之後的其中一項乘數，官方用語以「((!威力))」稱呼之。,,,,,,技能计算伤害时，在基础值之后的其中一项乘数，官方用语以「((!威力))」称呼之。
限傷時視為單段/多段傷害,category,名詞說明,,,,,,名词说明
,caption,此名詞意指((!多段式傷害))技能若遇到有((!傷害限制))的目標時，會如何進行((!傷害限制))的計算，與((!傷害判定))為分開進行。,,,,,,此名词意指((!多段式伤害))技能若遇到有((!伤害限制))的目标时，会如何进行((!伤害限制))的计算，与((!伤害判定))为分开进行。
,list,((!傷害限制))包含上限與下限，例如：當目標防禦過高導致造成1傷害，此即為一種傷害下限。,,,,,,((!伤害限制))包含上限与下限，例如：当目标防御过高导致造成1伤害，此即为一种伤害下限。
,,假如有一個3段傷害的技能發生上述情況，若該技能被視為((!多段傷害))，則會造成3次的1傷害；若被視為((!單段傷害))，則三段傷害將分別為1、0、0。,,,,,,假如有一个3段伤害的技能发生上述情况，若该技能被视为((!多段伤害))，则会造成3次的1伤害；若被视为((!单段伤害))，则三段伤害将分别为1、0、0。
施放武器,category,名詞說明,Weapon Used,,,用語説明,施放武器,名词说明
,caption,該技能的施放距離同((!施放武器))，通常而言裝備在((!主手))的武器即是施放武器。但仍有部分例外，如部分((!魔劍技能))以副手魔導具作為施放武器、((!刀術技能))以副手小刀作為施放武器。,,,,,,该技能的施放距离同((!施放武器))，通常而言装备在((!主手))的武器即是施放武器。但仍有部分例外，如部分((!魔剑技能))以副手魔导具作为施放武器、((!刀术技能))以副手小刀作为施放武器。
,list,即使是同一種類的武器，攻擊距離也不盡相同，以下列出各武器的常見攻擊距離（括號內為罕見攻擊距離）。,,,,,,即使是同一种类的武器，攻击距离也不尽相同，以下列出各武器的常见攻击距离（括号内为罕见攻击距离）。
,,空手：1,,,,素手：1,,空手：1
,,單手劍：2 (3),,,,片手剣：2(3),,单手剑：2 (3)
,,雙手劍：3 (4),,,,両手剣：3(4),,双手剑：3 (4)
,,弓：10 (8、9、12),,,,弓：10(8、9、12),,弓：10 (8、9、12)
,,弩：8 (4、7、10、12),,,,銃：8(4、7、10、12),,弩：8 (4、7、10、12)
,,拳套：1.5 (2),,,,手甲：1.5(2),,拳套：1.5 (2)
,,法杖：2 (4),,,,杖：2(4),,法杖：2 (4)
,,魔導具：6 (4、10、12),,,,,,魔导具：6 (4、10、12)
,,旋風槍：3.5 (3),,,,,,旋风枪：3.5 (3)
,,拔刀劍：2 (2.5),,,,,,拔刀剑：2 (2.5)
,,使用射程跟隨於武器的技能時，((!遠程狙擊))技能的生效與否，亦決定於裝備武器的攻擊距離。,,,,,,使用射程跟随于武器的技能时，((!远程狙击))技能的生效与否，亦决定于装备武器的攻击距离。
法術暴擊轉化率,category,名詞說明,magic crt conversion rate,,,,法术暴击转化率,名词说明
,caption,法術暴擊轉化率決定物理暴擊率反映至((!魔法暴擊))的比率；法術暴傷轉化率則是物理暴擊傷害反映至((!魔法暴擊傷害))的比率。,,,,,,法术暴击转化率决定物理暴击率反映至((!魔法暴击))的比率；法术暴伤转化率则是物理暴击伤害反映至((!魔法暴击伤害))的比率。
,list,((!法術暴擊轉化率))基礎為0，但((!法術暴傷轉化率))基礎為50。,,,,,,((!法术暴击转化率))基础为0，但((!法术暴伤转化率))基础为50。
,,魔法暴擊率：公式為((物理暴擊率×法術暴擊轉化率))。,,,,,,魔法暴击率：公式为((物理暴击率×法术暴击转化率))。
